,u1_id,u2_id,u1_willing,u2_willing,similarity
925,1061,1590,1,0,9
926,1062,2915,0,1,7
927,1064,1416,0,0,10
928,1065,2765,0,0,11
929,1066,3689,0,0,9
930,1067,3851,0,0,6
931,1068,3300,0,0,7
932,1070,3529,0,0,8
933,1071,2313,1,0,9
934,1072,1620,0,0,8
935,1073,3507,0,0,5
936,1074,1916,0,0,12
937,1075,3424,0,0,15
938,525,1076,0,0,7
939,1077,1188,0,0,4
940,1078,1660,0,1,16
941,73,1079,1,1,8
942,1080,1695,0,1,6
943,1081,1225,1,1,7
944,1082,2532,0,0,8
945,1083,2737,0,0,8
946,1084,1355,0,1,9
947,1039,1085,0,0,6
948,1086,1571,0,1,11
949,1087,2837,1,0,7
950,1088,1341,0,0,4
951,1089,1209,1,1,13
952,1090,1998,0,0,5
953,1091,2695,1,0,10
954,1092,2477,0,0,6
955,1094,2926,0,0,8
956,1096,1238,1,0,3
957,1097,2321,0,0,10
958,1098,1394,1,0,11
959,1099,2540,0,0,13
960,1100,2792,0,0,6
961,1101,1661,1,0,6
962,674,1102,0,0,11
963,1103,2698,0,1,8
964,1104,3351,0,1,11
965,991,1105,0,0,9
966,1106,2544,1,1,8
967,1107,1345,0,1,14
968,1108,3424,1,1,16
969,1109,2899,1,0,7
970,654,1110,0,0,7
971,1111,2804,0,0,12
972,1112,1803,1,0,4
973,1113,3792,0,0,9
974,1114,1875,0,1,8
975,1115,2581,0,0,6
976,1116,2177,1,0,14
977,1117,3236,0,0,2
978,1120,2364,1,0,7
979,909,1121,0,0,8
980,300,1122,0,0,10
981,1123,2006,0,0,8
982,1124,2540,1,0,10
983,1127,1347,1,0,10
984,1128,1461,1,0,0
985,101,1129,0,1,6
986,1130,1343,1,0,8
987,1132,3051,0,0,10
988,1133,1829,1,0,10
989,1135,2448,0,0,11
990,1136,2262,1,0,6
991,1139,2369,0,0,9
992,551,1140,0,0,6
993,885,1141,0,0,11
994,1143,2552,1,0,9
995,1144,1538,0,0,9
996,1145,3286,0,0,10
997,409,1147,0,1,14
998,1148,3366,0,0,12
999,1149,1408,0,0,3
1000,1150,2593,0,0,7
1001,1151,2022,0,0,9
1002,1153,1753,1,0,15
1003,1155,2599,0,0,11
1004,1156,3811,0,1,8
1005,1157,3131,0,0,12
1006,80,1158,0,0,11
1007,1159,1277,0,1,12
1008,1160,1188,0,0,3
1009,1161,1484,1,0,6
1010,1162,1430,0,0,18
1011,1163,3809,1,0,14
1012,885,1164,0,1,5
1013,1165,2175,1,0,7
1014,1166,3378,0,0,7
1015,443,1167,0,1,13
1016,1168,2740,1,0,15
1017,236,1169,0,1,6
1018,1171,3071,0,0,11
1019,1172,1391,0,0,0
1020,302,1173,0,0,10
1021,1174,3075,0,0,4
1022,206,1175,1,0,10
1023,1176,2426,0,0,7
1024,1177,2651,0,0,6
1025,1178,3850,1,1,8
1026,1179,1789,1,0,11
1027,1021,1180,0,0,7
1028,1181,2330,1,0,3
1029,1182,2856,1,1,11
1030,1183,3298,0,0,9
1031,283,1184,0,0,9
1032,1186,1830,0,0,5
1033,425,1187,1,0,9
1034,1189,3611,1,0,10
1035,1193,3003,0,1,14
1036,1194,1538,1,1,7
1037,1195,1343,0,0,9
1038,1198,1251,0,0,8
1039,1033,1199,0,0,9
1040,808,1200,0,0,12
1041,1201,3308,0,1,0
1042,575,1202,0,0,10
1043,1203,3413,0,1,5
1044,1204,1473,0,0,7
1045,1207,1858,0,0,4
1046,900,1208,0,0,6
1047,1209,1685,1,0,11
1048,1210,1768,0,1,7
1049,1213,1481,0,0,9
1050,1214,1378,0,0,7
1051,1215,1797,0,0,7
1052,551,1216,0,0,11
1053,1218,3054,0,0,12
1054,1219,3094,0,0,9
1055,1221,1357,0,1,7
1056,1222,1858,0,0,5
1057,1223,2843,0,1,10
